date,return,position_date
2011-06-27,0.005939546119382055,2011-06-24
2011-06-28,0.0112051098867743,2011-06-27
2011-06-29,0.005171077297748711,2011-06-28
2011-06-30,0.008066957114559393,2011-06-29
2011-07-01,0.01537035626694193,2011-06-30
2011-07-05,-0.000565950967486301,2011-07-01
2011-07-06,0.0009937078189646677,2011-07-05
2011-07-07,-0.000905334587094006,2011-07-06
2011-07-08,-0.010101270131503422,2011-07-07
2011-07-11,-0.01837146260063753,2011-07-08
2011-07-12,-0.002158464108240405,2011-07-11
2011-07-13,0.004930656155090712,2011-07-12
2011-07-14,-0.008936195786212865,2011-07-13
2011-07-15,0.0050429154587229704,2011-07-14
2011-07-18,-0.0075654358287323455,2011-07-15
2011-07-19,0.014990553922199975,2011-07-18
2011-07-20,-0.0010112921404818965,2011-07-19
2011-07-21,0.017624855751300617,2011-07-20
2011-07-22,-0.0026529009566763845,2011-07-21
2011-07-25,-0.004150923999701949,2011-07-22
2011-07-26,0.0011297841563711452,2011-07-25
2011-07-27,-0.01810407100356036,2011-07-26
2011-07-28,-0.005636060956141401,2011-07-27
2011-07-29,-0.004544882182912021,2011-07-28
2011-08-01,-0.0001601901518983916,2011-07-29
2011-08-02,-0.01801070682146053,2011-08-01
2011-08-03,0.004207995630665772,2011-08-02
2011-08-04,-0.031567993705163236,2011-08-03
2011-08-05,-0.004535142670532653,2011-08-04
2011-08-08,-0.06994304769883428,2011-08-05
2011-08-09,0.046444501780844874,2011-08-08
2011-08-10,-0.034399278545071854,2011-08-09
2011-08-11,0.030862006840344406,2011-08-10
2011-08-12,0.0026858520241978935,2011-08-11
2011-08-15,0.021677439780987264,2011-08-12
2011-08-16,-0.013360189067666707,2011-08-15
2011-08-17,-0.0025864703972449674,2011-08-16
2011-08-18,-0.048813885374681856,2011-08-17
2011-08-19,-0.01438050125486447,2011-08-18
2011-08-22,0.0013805321772544683,2011-08-19
2011-08-23,0.021566979601995658,2011-08-22
2011-08-24,0.006886323930954424,2011-08-23
2011-08-25,-0.017215617733053617,2011-08-24
2011-08-26,0.0071111022112360376,2011-08-25
2011-08-29,0.02068249187775569,2011-08-26
2011-08-30,0.0035447674734732683,2011-08-29
2011-08-31,0.002320730010629676,2011-08-30
2011-09-01,-0.005618507054909127,2011-08-31
2011-09-02,-0.014959452677486391,2011-09-01
2011-09-06,-0.0017470095659912433,2011-09-02
2011-09-07,0.013090450047509005,2011-09-06
2011-09-08,-0.005217662615955448,2011-09-07
2011-09-09,-0.017699888451887403,2011-09-08
2011-09-12,0.004690320128376744,2011-09-09
2011-09-13,0.002367889074415601,2011-09-12
2011-09-14,0.006378582610415066,2011-09-13
2011-09-15,0.011112067114089096,2011-09-14
2011-09-16,0.013262765050300033,2011-09-15
2011-09-19,-0.005454075533137833,2011-09-16
2011-09-20,0.010840077822889115,2011-09-19
2011-09-21,-0.021462085532997745,2011-09-20
2011-09-22,-0.019571377876959666,2011-09-21
2011-09-23,0.007182928154280452,2011-09-22
2011-09-26,0.008706052291088699,2011-09-23
2011-09-27,-0.003041691554804761,2011-09-26
2011-09-28,-0.001156491171077646,2011-09-27
2011-09-29,-0.005355792316658619,2011-09-28
2011-09-30,-0.013650178171633574,2011-09-29
2011-10-03,-0.014167143003809342,2011-09-30
2011-10-04,0.012127842072793375,2011-10-03
2011-10-05,-0.005116212497095729,2011-10-04
2011-10-06,0.005094988593270881,2011-10-05
2011-10-07,0.0032731819615276956,2011-10-06
2011-10-10,0.02032772568523001,2011-10-07
2011-10-11,0.0010560142138641736,2011-10-10
2011-10-12,0.00037430835345473256,2011-10-11
2011-10-13,-0.0061657515586167454,2011-10-12
2011-10-14,0.015930812009517546,2011-10-13
2011-10-17,-0.01773912263106759,2011-10-14
2011-10-18,0.01083316264852696,2011-10-17
2011-10-19,-0.027700979697545623,2011-10-18
2011-10-20,5.143017485484665e-05,2011-10-19
2011-10-21,0.019966382902066312,2011-10-20
2011-10-24,0.006639918061760022,2011-10-21
2011-10-25,-0.026701598396361735,2011-10-24
2011-10-26,0.010113244787297141,2011-10-25
2011-10-27,0.040618624533325605,2011-10-26
2011-10-28,-0.004723418107952288,2011-10-27
2011-10-31,-0.012518122798785038,2011-10-28
2011-11-01,-0.023787452960218145,2011-10-31
2011-11-02,0.029719802319079884,2011-11-01
2011-11-03,0.02274355153421702,2011-11-02
2011-11-04,-0.005345690478871756,2011-11-03
2011-11-07,0.005191731509812122,2011-11-04
2011-11-08,0.019548676927806433,2011-11-07
2011-11-09,-0.03264972673797323,2011-11-08
2011-11-10,0.005526912064334971,2011-11-09
2011-11-11,0.03377647416854074,2011-11-10
2011-11-14,-0.016739572787916032,2011-11-11
2011-11-15,0.008176494778033784,2011-11-14
2011-11-16,-0.028473580327047533,2011-11-15
2011-11-17,-0.042081367201232914,2011-11-16
2011-11-18,-0.005969751129944737,2011-11-17
2011-11-21,-0.024991584735723663,2011-11-18
2011-11-22,-0.024777932061055104,2011-11-21
2011-11-23,-0.021347200446435385,2011-11-22
2011-11-25,-0.00802158965145661,2011-11-23
2011-11-28,0.032836632554732764,2011-11-25
2011-11-29,0.021263946435127596,2011-11-28
2011-11-30,0.023430984133648834,2011-11-29
2011-12-01,-0.004136114753414409,2011-11-30
2011-12-02,-0.002184345341037096,2011-12-01
2011-12-05,0.006216423584380319,2011-12-02
2011-12-06,-0.0007678129025408777,2011-12-05
